postcodes,district,county,district_county,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
2140,Santarém,Chamusca,Santarém_Chamusca,0.24480874316939888,0.0032786885245901635,0.0622950819672131,0.005464480874316939,0.009836065573770491,0.06448087431693988,0.15628415300546447,0.01530054644808743,0.07868852459016393,0.017486338797814204,0.020765027322404365,0.06666666666666667,0.0808743169398907,0.02950819672131147,0.06120218579234972,0.032786885245901634,0.05027322404371584
2250,Santarém,Constância,Santarém_Constância,0.06707317073170732,0.006097560975609757,0.07926829268292683,0.021341463414634148,0,0.06402439024390244,0.10975609756097562,0.021341463414634148,0.10975609756097562,0.012195121951219514,0.02439024390243903,0.08536585365853659,0.12195121951219513,0.06707317073170732,0.07926829268292683,0.042682926829268296,0.08841463414634146
2100,Santarém,Coruche,Santarém_Coruche,0.262252346193952,0.0020855057351407713,0.046402502606882154,0.003128258602711157,0.0010427528675703856,0.06100104275286756,0.18769551616266938,0.02398331595411887,0.05995828988529717,0.011991657977059434,0.021376433785192904,0.07455683003128258,0.07559958289885295,0.04014598540145985,0.06830031282586026,0.027111574556830026,0.03336809176225234
2330,Santarém,Entroncamento,Santarém_Entroncamento,0.018155053974484792,0,0.04170755642787047,0.009322865554465163,9.813542688910698e-4,0.0534838076545633,0.16928361138370954,0.02011776251226693,0.05299313052011777,0.019136408243375858,0.03729146221786065,0.10206084396467126,0.1717369970559372,0.08145240431795879,0.11972522080471051,0.03189401373895977,0.07065750736015702
2334,Santarém,Entroncamento,Santarém_Entroncamento,0.018155053974484792,0,0.04170755642787047,0.009322865554465163,9.813542688910698e-4,0.0534838076545633,0.16928361138370954,0.02011776251226693,0.05299313052011777,0.019136408243375858,0.03729146221786065,0.10206084396467126,0.1717369970559372,0.08145240431795879,0.11972522080471051,0.03189401373895977,0.07065750736015702
2240,Santarém,Ferreira do Zêzere,Santarém_Ferreira do Zêzere,0.12455516014234873,0,0.048635824436536176,0.011862396204033213,0.0011862396204033213,0.1672597864768683,0.1886120996441281,0.01779359430604982,0.09727164887307235,0.011862396204033213,0.023724792408066426,0.06049822064056939,0.09134045077105574,0.024911032028469747,0.053380782918149454,0.024911032028469747,0.052194543297746136
2150,Santarém,Golegã,Santarém_Golegã,0.20667726550079496,0,0.04610492845786964,0.0031796502384737685,0,0.06200317965023849,0.17806041335453104,0.027027027027027032,0.08585055643879175,0.007949125596184421,0.027027027027027032,0.08267090620031799,0.09379968203497617,0.04769475357710653,0.06677265500794914,0.020667726550079497,0.04451510333863276
2154,Santarém,Golegã,Santarém_Golegã,0.20667726550079496,0,0.04610492845786964,0.0031796502384737685,0,0.06200317965023849,0.17806041335453104,0.027027027027027032,0.08585055643879175,0.007949125596184421,0.027027027027027032,0.08267090620031799,0.09379968203497617,0.04769475357710653,0.06677265500794914,0.020667726550079497,0.04451510333863276
6120,Santarém,Mação,Santarém_Mação,0.13447782546494993,0,0.07296137339055794,0.02002861230329042,0.004291845493562233,0.13590844062947066,0.19313304721030045,0.024320457796852647,0.08154506437768241,0.014306151645207441,0.022889842632331906,0.058655221745350504,0.09298998569384836,0.028612303290414882,0.05293276108726753,0.022889842632331906,0.04005722460658084
2490,Santarém,Ourém,Santarém_Ourém,0.03140056487788669,0.0018275461040039873,0.07476324970925402,0.005316497757102508,0.0016614055490945339,0.14437614221631498,0.22495431134739988,0.020269147698953313,0.08572852633327795,0.011463698288752284,0.04485794982555241,0.08406712078418341,0.09320485130420335,0.03738162485462701,0.06662236251869082,0.021764412693138394,0.050340588137564375
