year,month,date,postcodes,energy_kwh,energy_normalized
2023,8,2023-08,2140,6286042.685,0.8019850030477035
2023,9,2023-09,2140,4806103.19,0.2631430529434535
2023,10,2023-10,2140,4637925.47,0.2019100019200487
2023,11,2023-11,2140,4083375.873,0
2023,12,2023-12,2140,4278661.204,0.07110285855489916
2023,1,2023-01,2150,2192508.763,0.09630483853281255
2023,2,2023-02,2150,2016359.581,0.01822030882511525
2023,3,2023-03,2150,2026949.935,0.022914868301003342
2023,4,2023-04,2150,2163572.105,0.08347761273710907
2023,5,2023-05,2150,2819124.18,0.37407490586152553
2023,6,2023-06,2150,3417590.436,0.6393668340731844
2023,7,2023-07,2150,4231134.904,1
2023,8,2023-08,2150,3595277.057,0.7181328895189307
2023,9,2023-09,2150,2284397.363,0.13703780155332052
2023,10,2023-10,2150,2021491.918,0.020495403812195116
2023,11,2023-11,2150,1975256.785,0
2023,12,2023-12,2150,2171999.973,0.08721357166548248
2023,1,2023-01,2200,7216528.677,1
2023,2,2023-02,2200,6358984.497,0.5226977949587183
2023,3,2023-03,2200,6227928.168,0.4497528945381754
2023,4,2023-04,2200,5419880.409,0
2023,5,2023-05,2200,5621909.998,0.11244804706538122
2023,6,2023-06,2200,5857306.251,0.2434677113995916
2023,7,2023-07,2200,6227940.163,0.4497595708588631
2023,8,2023-08,2200,6139658.352,0.40062262370432983
2023,9,2023-09,2200,5788494.743,0.2051677785604276
2023,10,2023-10,2200,6055911.773,0.3540099502659026
2023,11,2023-11,2200,6247673.953,0.46074323992279587
2023,12,2023-12,2200,7179744.822,0.9795264016584907
2023,1,2023-01,2205,6520398.485,1
2023,2,2023-02,2205,5604923.457,0.5300839648753648
2023,3,2023-03,2205,5810129.349,0.6354167551793447
2023,4,2023-04,2205,5198862.543,0.32165169868583215
2023,5,2023-05,2205,5333125.927,0.3905694901514631
2023,6,2023-06,2205,4572231.239,0
2023,7,2023-07,2205,5328885.736,0.3883929875905528
2023,8,2023-08,2205,4947393.545,0.19257191946445434
2023,9,2023-09,2205,5031349.574,0.2356667970589625
2023,10,2023-10,2205,5461421.218,0.4564238418573639
2023,11,2023-11,2205,6008565.818,0.7372747806683942
2023,12,2023-12,2205,5993822.109,0.7297067913028653
2023,1,2023-01,2230,1197935.971,0.7932111919340102
2023,2,2023-02,2230,1048370.864,0.3525034385065998
2023,3,2023-03,2230,1028828.88,0.29492113178478957
2023,4,2023-04,2230,928740.079,0
