postcodes,district,county,district_county
1150,Lisboa,Lisboa,Lisboa_Lisboa
1169,Lisboa,Lisboa,Lisboa_Lisboa
1600,Lisboa,Lisboa,Lisboa_Lisboa
1050,Lisboa,Lisboa,Lisboa_Lisboa
1069,Lisboa,Lisboa,Lisboa_Lisboa
1649,Lisboa,Lisboa,Lisboa_Lisboa
1750,Lisboa,Lisboa,Lisboa_Lisboa
1769,Lisboa,Lisboa,Lisboa_Lisboa
1500,Lisboa,Lisboa,Lisboa_Lisboa
1170,Lisboa,Lisboa,Lisboa_Lisboa
1199,Lisboa,Lisboa,Lisboa_Lisboa
1100,Lisboa,Lisboa,Lisboa_Lisboa
1149,Lisboa,Lisboa,Lisboa_Lisboa
1950,Lisboa,Lisboa,Lisboa_Lisboa
1549,Lisboa,Lisboa,Lisboa_Lisboa
1800,Lisboa,Lisboa,Lisboa_Lisboa
1099,Lisboa,Lisboa,Lisboa_Lisboa
1098,Lisboa,Lisboa,Lisboa_Lisboa
1250,Lisboa,Lisboa,Lisboa_Lisboa
1269,Lisboa,Lisboa,Lisboa_Lisboa
1200,Lisboa,Lisboa,Lisboa_Lisboa
1249,Lisboa,Lisboa,Lisboa_Lisboa
1399,Lisboa,Lisboa,Lisboa_Lisboa
1849,Lisboa,Lisboa,Lisboa_Lisboa
1959,Lisboa,Lisboa,Lisboa_Lisboa
1067,Lisboa,Lisboa,Lisboa_Lisboa
1990,Lisboa,Lisboa,Lisboa_Lisboa
1998,Lisboa,Lisboa,Lisboa_Lisboa
1999,Lisboa,Lisboa,Lisboa_Lisboa
1748,Lisboa,Lisboa,Lisboa_Lisboa
1068,Lisboa,Lisboa,Lisboa_Lisboa
2680,Lisboa,Loures,Lisboa_Loures
2695,Lisboa,Loures,Lisboa_Loures
2699,Lisboa,Loures,Lisboa_Loures
2670,Lisboa,Loures,Lisboa_Loures
2674,Lisboa,Loures,Lisboa_Loures
2681,Lisboa,Loures,Lisboa_Loures
2660,Lisboa,Loures,Lisboa_Loures
1885,Lisboa,Loures,Lisboa_Loures
1886,Lisboa,Loures,Lisboa_Loures
2685,Lisboa,Loures,Lisboa_Loures
2689,Lisboa,Loures,Lisboa_Loures
2688,Lisboa,Loures,Lisboa_Loures
2690,Lisboa,Loures,Lisboa_Loures
2694,Lisboa,Loures,Lisboa_Loures
